timestamp,user,action,response_time_ms
2026-09-24 21:09:40,user5,search,823
2026-09-24 21:09:41,user5,login,346
2026-09-24 21:09:42,user5,login,622
2026-09-24 21:09:43,user2,purchase,257
2026-09-24 21:09:44,user3,logout,406
2026-09-24 21:09:45,user3,purchase,274
2026-09-24 21:09:46,user5,view,435
2026-09-24 21:09:47,user5,logout,786
2026-09-24 21:09:48,user5,purchase,226
2026-09-24 21:09:49,user2,logout,387
2026-09-24 21:09:50,user4,purchase,551
2026-09-24 21:09:51,user3,logout,185
2026-09-24 21:09:52,user5,search,539
2026-09-24 21:09:53,user4,search,594
2026-09-24 21:09:54,user2,login,493
2026-09-24 21:09:55,user2,search,853
2026-09-24 21:09:56,user2,logout,277
2026-09-24 21:09:57,user3,logout,671
2026-09-24 21:09:58,user5,login,601
2026-09-24 21:09:59,user2,logout,401
2026-09-24 21:10:00,user5,search,297
2026-09-24 21:10:01,user3,logout,800
2026-09-24 21:10:02,user4,logout,966
2026-09-24 21:10:03,user5,purchase,358
2026-09-24 21:10:04,user2,purchase,601
2026-09-24 21:10:05,user1,purchase,993
2026-09-24 21:10:06,user1,purchase,789
2026-09-24 21:10:07,user4,view,549
2026-09-24 21:10:08,user1,view,747
2026-09-24 21:10:09,user3,login,626
2026-09-24 21:10:10,user1,search,648
2026-09-24 21:10:11,user3,login,669
2026-09-24 21:10:12,user1,logout,79
2026-09-24 21:10:13,user2,purchase,115
2026-09-24 21:10:14,user1,view,792
2026-09-24 21:10:15,user1,search,218
2026-09-24 21:10:16,user1,purchase,948
2026-09-24 21:10:17,user5,purchase,654
2026-09-24 21:10:18,user1,view,871
2026-09-24 21:10:19,user5,search,140
2026-09-24 21:10:20,user1,purchase,954
2026-09-24 21:10:21,user3,purchase,583
2026-09-24 21:10:22,user3,login,395
2026-09-24 21:10:23,user4,logout,308
2026-09-24 21:10:24,user3,purchase,975
2026-09-24 21:10:25,user4,view,227
2026-09-24 21:10:26,user4,view,328
2026-09-24 21:10:27,user5,logout,722
2026-09-24 21:10:28,user1,view,289
2026-09-24 21:10:29,user1,login,376
2026-09-24 21:10:30,user3,search,931
2026-09-24 21:10:31,user2,view,240
2026-09-24 21:10:32,user1,logout,305
2026-09-24 21:10:33,user5,login,678
2026-09-24 21:10:34,user3,logout,162
2026-09-24 21:10:35,user2,purchase,836
2026-09-24 21:10:36,user1,search,440
2026-09-24 21:10:37,user2,purchase,422
2026-09-24 21:10:38,user5,logout,913
2026-09-24 21:10:39,user3,search,142
2026-09-24 21:10:40,user2,search,683
2026-09-24 21:10:41,user5,purchase,858
2026-09-24 21:10:42,user2,logout,804
2026-09-24 21:10:43,user3,search,467
2026-09-24 21:10:44,user2,login,327
2026-09-24 21:10:45,user4,search,363
2026-09-24 21:10:46,user3,view,804
2026-09-24 21:10:47,user4,search,88
2026-09-24 21:10:48,user5,login,474
2026-09-24 21:10:49,user3,login,868
2026-09-24 21:10:50,user4,view,261
2026-09-24 21:10:51,user4,login,217
2026-09-24 21:10:52,user4,login,981
2026-09-24 21:10:53,user1,logout,287
2026-09-24 21:10:54,user1,login,611
2026-09-24 21:10:55,user4,logout,460
2026-09-24 21:10:56,user1,search,227
2026-09-24 21:10:57,user2,login,454
2026-09-24 21:10:58,user3,login,950
2026-09-24 21:10:59,user4,view,852
2026-09-24 21:11:00,user1,logout,104
2026-09-24 21:11:01,user5,search,227
2026-09-24 21:11:02,user5,purchase,305
2026-09-24 21:11:03,user3,logout,511
2026-09-24 21:11:04,user5,search,786
2026-09-24 21:11:05,user5,search,923
2026-09-24 21:11:06,user5,logout,175
2026-09-24 21:11:07,user2,view,275
2026-09-24 21:11:08,user3,login,482
2026-09-24 21:11:09,user5,login,748
2026-09-24 21:11:10,user1,search,920
2026-09-24 21:11:11,user3,login,700
2026-09-24 21:11:12,user3,logout,683
2026-09-24 21:11:13,user3,purchase,77
2026-09-24 21:11:14,user3,view,685
2026-09-24 21:11:15,user2,purchase,306
2026-09-24 21:11:16,user5,purchase,736
2026-09-24 21:11:17,user4,login,552
2026-09-24 21:11:18,user4,login,394
2026-09-24 21:11:19,user3,login,611
2026-09-24 21:11:20,user1,search,811
2026-09-24 21:11:21,user4,purchase,729
2026-09-24 21:11:22,user4,view,581
2026-09-24 21:11:23,user3,search,298
2026-09-24 21:11:24,user4,view,639
2026-09-24 21:11:25,user1,login,861
2026-09-24 21:11:26,user3,view,470
2026-09-24 21:11:27,user3,logout,884
2026-09-24 21:11:28,user3,view,704
2026-09-24 21:11:29,user1,login,800
2026-09-24 21:11:30,user3,purchase,992
2026-09-24 21:11:31,user3,view,924
2026-09-24 21:11:32,user4,view,984
2026-09-24 21:11:33,user1,search,759
2026-09-24 21:11:34,user5,purchase,503
2026-09-24 21:11:35,user4,search,942
2026-09-24 21:11:36,user5,login,743
2026-09-24 21:11:37,user3,view,740
2026-09-24 21:11:38,user1,login,529
2026-09-24 21:11:39,user4,purchase,665
2026-09-24 21:11:40,user5,login,830
2026-09-24 21:11:41,user2,purchase,967
2026-09-24 21:11:42,user5,logout,446
2026-09-24 21:11:43,user5,logout,85
2026-09-24 21:11:44,user5,view,381
2026-09-24 21:11:45,user1,view,636
2026-09-24 21:11:46,user3,purchase,764
2026-09-24 21:11:47,user5,login,662
2026-09-24 21:11:48,user1,login,479
2026-09-24 21:11:49,user3,view,561
2026-09-24 21:11:50,user5,search,557
